Name,Rattlesnakes,Ticks,Posionivy,Falling
Ainsworth Loop Hike,0,0,0,0
Aldrich Butte Hike,0,1,0,0
Aldrich Butte-Cedar Falls Loop Hike,0,1,0,0
Angels Rest Hike,0,0,1,0
Angels Rest-Devils Rest Loop Hike,0,0,1,0
Archer Mountain Loop Hike,0,0,1,0
Augspurger Mountain Hike,0,0,0,0
Balfour-Klickitat Loop Hike,0,1,0,0
Beacon Rock Hike,0,0,1,0
Bear Lake Hike,0,0,0,0
Bell Creek Loop Hike,0,0,0,0
Benson Plateau Loop Hike,0,0,0,0
Bridal Veil Falls Hike,0,0,0,0
Buck Creek on Larch Mountain Hike,0,0,0,0
Buck Point Hike,0,0,0,0
Camp Benson Falls Hike,0,0,0,0
Cape Horn Loop Hike,0,0,1,0
Cape Horn Overlooks Hike,0,0,1,0
Cascade Locks West Loop Hike,0,0,0,0
Casey Creek Loop Hike,0,0,0,0
Catherine Creek Arch Loop Hike,1,1,0,0
Catherine Creek Canyon Loop Hike,1,1,0,0
Catherine Creek Universal Access Hike,1,1,0,0
Catherine Creek West Loop Hike,1,1,0,0
Catherine Creek-Coyote Wall Loop Hike,1,1,1,0
Catherine Creek-Rowland Basin Loop Hike,1,1,0,0
Cedar Mountain Loop Hike,0,1,0,0
Chenoweth Tableland Loop Hike,0,1,1,0
Chetwoot Loop Hike,0,1,1,0
Chinidere Mountain Loop Hike,0,0,0,0
Columbia Gorge Traverse Hike,0,0,1,0
Cook Hill Loop Hike,1,1,0,0
Cougar Rock via Elevator Shaft Hike,0,0,1,0
Coyote Wall Hike,1,1,1,0
Dalles Mountain Ranch Loop Hike,1,1,0,0
Devils Hole/Three Benches Hike,1,1,0,0
Devils Rest via Wahkeena Hike,0,0,0,0
Dog Mountain Hike,1,1,0,0
Dog Mountain Loop Hike,1,1,0,0
Dry Creek Falls Hike,0,0,0,0
Dublin Lake Hike,0,0,0,0
Duncan Creek Hike,0,0,0,0
Eagle Creek Overlook Hike,0,0,0,0
Eagle Creek to High Bridge Hike,0,0,1,0
Eagle Creek to Punch Bowl Falls Hike,0,0,1,0
Eagle Creek to Tunnel Falls Hike,0,0,1,0
Eagle-Benson Loop Hike,0,0,1,0
EasyCLIMB Loop Hike,0,0,0,0
Elowah Falls Loop Hike,0,0,0,0
Fairy Falls Loop Hike,0,0,0,0
Fort Cascades Loop Hike,0,0,0,0
Fort Rains Hike,0,0,0,0
Franklin Ridge from Larch Mountain Loop Hike,0,0,0,0
Franklin Ridge Loop Hike,0,0,0,0
Gillette Lake Hike,0,0,0,0
Green Point Mountain Loop Hike,0,0,0,0
Hamilton Creek Loop Hike,0,0,0,0
Hamilton Mountain Loop Hike,0,0,1,0
Hamilton-Hardy Loop Hike,0,0,0,0
Hardy Ridge Loop Hike,0,0,1,0
Herman Creek Hike,0,0,0,0
Herman Creek Pinnacles Hike,0,0,0,0
Herman Creek Pinnacles via the PCT Hike,0,0,0,0
Herman Creek-Wyeth Hike,0,0,0,0
hike,0,0,0,0
Hood River Pipeline Hike,0,0,0,0
Hood River Waterfront Hike,0,0,0,0
Horsetail Falls Loop Hike,0,0,1,0
Horsethief Butte Hike,1,1,1,0
Indian Creek Hike,0,0,0,0
Indian Mountain Loop Hike,0,0,0,0
Indian Point Loop Hike,0,0,1,0
Klickitat Canyon Hike,1,1,0,0
Klickitat Trail: Klickitat Mineral Springs Hike,1,1,0,0
Klickitat Trail: Lyle to Klickitat Hike,1,1,0,0
Klickitat Trail: Swale Canyon Hike,1,1,0,0
Labyrinth Hike,1,1,0,0
Labyrinth-Coyote Wall Loop Hike,1,1,1,0
Larch Mountain Crater Loop Hike,0,0,0,0
Larch Mountain Crater Rim Loop Hike,0,0,0,0
Larch Mountain Hike,0,0,0,0
Larch Mountain via Oneonta Trail Hike,0,0,1,0
Latourell Falls Loop Hike,0,0,0,0
Leidl Ridge Hike,1,1,0,0
Lewis and Clark Park Hike,0,0,0,0
Little Beacon Rock Loop Hike,0,0,0,0
Lower Starvation Loop Hike,0,0,1,0
Lyle Cherry Orchard Hike,1,1,0,0
Mark O. Hatfield Trail Hike,0,0,0,0
Maryhill Loops Hike,1,1,0,0
McCall Point Hike,1,1,1,0
McCord Creek to Tanner Creek Loop Hike,0,0,0,0
Memaloose Hills Hike,1,1,0,0
Mist Falls Hike,0,0,0,0
Mitchell Point Hike,0,1,1,0
Mosier Plateau Hike,1,0,1,0
Mosier Twin Tunnels Hike,1,0,0,0
Mount Defiance from Columbia River Hike,0,0,0,0
Mount Defiance from Wahtum Lake Road Hike,0,0,0,0
Mount Defiance-Starvation Ridge Loop Hike,0,0,1,0
Mud Lake Hike,0,0,0,0
Multnomah Falls Hike,0,0,0,0
Multnomah Falls-Devils Rest Loop Hike,0,0,0,0
Multnomah-Wahkeena Loop Hike,0,0,0,0
Munra Point from Wahclella Hike,0,0,1,0
Munra Point from Yeon Trailhead Hike,0,0,1,0
Nellie Corser Loop Hike,0,0,0,0
Nesmith Point Hike,0,0,0,0
Nesmith-Oneonta Traverse Hike,0,0,0,0
Nesmith-Tanner Traverse Hike,0,0,0,0
Nick Eaton Falls Hike,0,0,0,0
Nick Eaton Ridge Loop Hike,0,0,0,0
North Lake Hike,0,0,0,0
Oneonta Gorge Hike,0,0,0,0
Oneonta-Multnomah Loop Hike,0,0,0,0
Pepper Mountain Hike,0,0,0,0
Ponytail Falls Hike,0,0,1,0
Pool of the Winds Hike,0,0,0,0
Punchbowl Falls Park Hike,0,0,1,0
Rainy Lake Loop Hike,0,0,0,0
Rainy Lake via Gorton Creek Trail Hike,0,0,0,0
River to Rock Loop Hike,0,0,0,0
Rock of Ages Loop Hike,0,0,1,0
Rooster Rock Loop Hike,0,0,0,0
Rooster Rock Wagon Road Hike,0,0,0,0
Rowena Plateau Hike,1,1,0,0
Ruckel Ridge Loop Hike,0,0,1,0
Rudolph Spur Loop Hike,0,0,0,0
Sams Walker Loop Hike,0,0,0,0
Sandy River Delta Loop Hike,0,0,0,0
Sevenmile Hill Loop Hike,1,1,0,0
Shady Glen Loop Hike,0,0,0,0
She Who Watches Hike,1,1,0,0
Shepperds Dell Hike,0,0,0,0
Sherrard Point Hike,0,0,0,0
Skamania Lodge Loop Hike,0,0,0,0
Soda Springs Loop Hike,1,1,0,0
Sorosis Park Loop Hike,1,0,0,0
Spearfish Lake Loop Hike,1,0,0,0
St. Cloud Loop Hike,0,0,0,0
Stacker Butte Hike,1,1,0,0
Starvation Creek Waterfalls Hike,0,0,0,0
Starvation Ridge Hike,0,0,1,0
Strawberry Island Loop Hike,0,0,0,0
Table Mountain from Bonneville Hike,0,1,1,0
Table Mountain North Ridge Hike,0,1,1,0
Tanner Butte Hike,0,0,0,0
Tanner Creek Hike,0,0,0,0
Tanner Creek to Eagle Creek Loop Hike,0,0,0,0
Tanner Cutoff Loop Hike,0,0,0,0
Tanner-Eagle Traverse Hike,0,0,1,0
The Dalles Riverfront Hike,1,0,0,0
Tomlike Mountain Hike,0,0,0,0
Tooth Rock Loop Hike,0,0,0,0
Tracy Hill Loop Hike,1,1,0,0
Triple Falls Hike,0,0,1,0
Two Chiefs Trail Hike,0,0,0,0
Upper Hardy Creek Loop Hike,0,0,0,0
Upper McCord Creek Falls Hike,0,0,1,0
Viento State Park Hike,0,0,0,0
Wahclella Falls Hike,0,0,1,0
Wahkeena Falls Hike,0,0,0,0
Wahtum Lake to Benson Plateau Hike,0,0,0,0
Wahtum Lake via Herman Creek Hike,0,0,0,0
Wahtum Lake via Pacific Crest Trail Hike,0,0,0,0
Wahtum Lake via Ruckel Creek Hike,0,0,0,0
Warren Lake to Mount Defiance Hike,0,0,0,0
Waucoma Lakes Loop Hike,0,0,0,0
Wauna Point Hike,0,0,0,0
Wauna Viewpoint from Eagle Creek Hike,0,0,0,0
Wauna Viewpoint from Tooth Rock Hike,0,0,1,0
Wauneka Point Hike,0,0,0,0
Wind Mountain Hike,1,0,1,0
Wygant Peak Hike,0,1,1,0
Young Creek Bottomland Hike,0,0,0,0
